"Date","Price","Open","High","Low","Change %"
"Oct 29, 2013","3.0461","3.0334","3.0488","3.0259","0.41%"
"Oct 28, 2013","3.0337","3.0286","3.0382","3.0207","0.17%"
"Oct 25, 2013","3.0286","3.0278","3.0407","3.0173","-0.04%"
"Oct 24, 2013","3.0299","3.0354","3.0398","3.0196","-0.24%"
"Oct 23, 2013","3.0373","3.0202","3.0404","3.0157","0.50%"
"Oct 22, 2013","3.0223","3.0504","3.0598","3.0141","-0.99%"
"Oct 21, 2013","3.0524","3.0463","3.0638","3.0382","0.16%"
"Oct 18, 2013","3.0474","3.0454","3.0591","3.0396","0.00%"
"Oct 17, 2013","3.0473","3.0760","3.0823","3.0409","-0.98%"
"Oct 16, 2013","3.0776","3.0858","3.0911","3.0710","-0.29%"
"Oct 15, 2013","3.0867","3.0822","3.1029","3.0741","0.08%"
"Oct 14, 2013","3.0842","3.0892","3.0954","3.0727","-0.27%"
"Oct 11, 2013","3.0926","3.0929","3.0987","3.0804","-0.07%"
"Oct 10, 2013","3.0949","3.1031","3.1138","3.0871","-0.33%"
"Oct 09, 2013","3.1050","3.0897","3.1147","3.0793","0.43%"
"Oct 08, 2013","3.0917","3.0909","3.0980","3.0753","-0.04%"
"Oct 07, 2013","3.0929","3.0957","3.1055","3.0819","-0.17%"
"Oct 04, 2013","3.0982","3.0802","3.1050","3.0739","0.52%"
"Oct 03, 2013","3.0822","3.1017","3.1056","3.0769","-0.69%"
"Oct 02, 2013","3.1037","3.1165","3.1271","3.0924","-0.47%"
"Oct 01, 2013","3.1185","3.1194","3.1260","3.1020","-0.09%"
"Sep 30, 2013","3.1214","3.1200","3.1345","3.1125","-0.05%"
"Sep 27, 2013","3.1229","3.1338","3.1410","3.1108","-0.41%"
"Sep 26, 2013","3.1357","3.1169","3.1418","3.1116","0.54%"
"Sep 25, 2013","3.1189","3.1242","3.1318","3.1114","-0.21%"
"Sep 24, 2013","3.1254","3.1313","3.1426","3.1167","-0.23%"
"Sep 23, 2013","3.1326","3.1158","3.1357","3.1121","0.22%"
"Sep 20, 2013","3.1258","3.1040","3.1352","3.0904","0.63%"
"Sep 19, 2013","3.1063","3.0775","3.1122","3.0609","0.83%"
"Sep 18, 2013","3.0806","3.1548","3.1732","3.0720","-2.41%"
"Sep 17, 2013","3.1568","3.1499","3.1648","3.1412","0.17%"
"Sep 16, 2013","3.1514","3.1610","3.1620","3.1257","-0.38%"
"Sep 13, 2013","3.1635","3.1715","3.1807","3.1526","-0.30%"
"Sep 12, 2013","3.1730","3.1634","3.1796","3.1554","0.21%"
"Sep 11, 2013","3.1662","3.1957","3.2103","3.1563","-1.00%"
"Sep 10, 2013","3.1982","3.2160","3.2244","3.1930","-0.74%"
"Sep 09, 2013","3.2220","3.2480","3.2527","3.2098","-0.77%"
"Sep 06, 2013","3.2471","3.2760","3.2844","3.2396","-1.01%"
"Sep 05, 2013","3.2801","3.2363","3.2866","3.2298","1.31%"
"Sep 04, 2013","3.2377","3.2442","3.2514","3.2222","-0.23%"
"Sep 03, 2013","3.2452","3.2265","3.2558","3.2201","0.51%"
"Sep 02, 2013","3.2287","3.2195","3.2372","3.2093","-0.07%"
"Aug 30, 2013","3.2309","3.2266","3.2389","3.2120","-0.08%"
"Aug 29, 2013","3.2335","3.2124","3.2404","3.2008","0.64%"
"Aug 28, 2013","3.2130","3.1722","3.2283","3.1649","1.25%"
"Aug 27, 2013","3.1732","3.1689","3.1934","3.1548","0.11%"
"Aug 26, 2013","3.1696","3.1529","3.1703","3.1500","0.34%"
"Aug 23, 2013","3.1590","3.1773","3.1864","3.1465","-0.69%"
"Aug 22, 2013","3.1810","3.1845","3.1898","3.1719","0.00%"
"Aug 21, 2013","3.1810","3.1517","3.1856","3.1435","0.83%"
"Aug 20, 2013","3.1547","3.1871","3.1898","3.1391","-1.08%"
"Aug 19, 2013","3.1890","3.1695","3.1913","3.1664","0.58%"
"Aug 16, 2013","3.1706","3.1628","3.1818","3.1534","0.15%"
"Aug 15, 2013","3.1660","3.1716","3.2081","3.1558","-0.24%"
"Aug 14, 2013","3.1736","3.1620","3.1797","3.1521","0.30%"
"Aug 13, 2013","3.1640","3.1505","3.1716","3.1410","0.34%"
"Aug 12, 2013","3.1533","3.1386","3.1576","3.1325","0.49%"
"Aug 09, 2013","3.1380","3.1280","3.1415","3.1222","0.13%"
"Aug 08, 2013","3.1340","3.1555","3.1619","3.1244","-0.74%"
"Aug 07, 2013","3.1575","3.1605","3.1774","3.1500","-0.13%"
"Aug 06, 2013","3.1616","3.1755","3.1841","3.1542","-0.50%"
"Aug 05, 2013","3.1775","3.1840","3.1949","3.1707","-0.42%"
"Aug 02, 2013","3.1909","3.2268","3.2316","3.1782","-1.12%"
"Aug 01, 2013","3.2271","3.1945","3.2300","3.1876","0.97%"
"Jul 31, 2013","3.1961","3.1880","3.2151","3.1800","0.21%"
"Jul 30, 2013","3.1894","3.1730","3.1987","3.1639","0.56%"
"Jul 29, 2013","3.1717","3.1816","3.1943","3.1639","-0.51%"
