code,date,Euro_super_95
EE,2016-07-04,1.087
EE,2016-06-27,1.087
EE,2016-06-20,1.087
EE,2016-06-13,1.097
EE,2016-06-06,1.108
EE,2016-05-30,1.108
EE,2016-05-23,1.088
EE,2016-05-16,1.088
EE,2016-05-09,1.088
EE,2016-05-02,1.088
EE,2016-04-25,1.088
EE,2016-04-18,1.049
EE,2016-04-11,1.049
EE,2016-04-04,1.061
EE,2016-03-21,1.021
EE,2016-03-14,1.021
EE,2016-03-07,0.991
EE,2016-02-29,0.953
EE,2016-02-22,0.994
EE,2016-02-15,0.988
EE,2016-02-08,0.998
EE,2016-02-01,0.963
EE,2016-01-25,0.962
EE,2016-01-18,0.992
EE,2016-01-11,0.992
EE,2016-01-04,1.004
EE,2015-12-14,0.999
EE,2015-12-07,1.04
EE,2015-11-30,1.08
EE,2015-11-23,1.08
EE,2015-11-16,1.108
EE,2015-11-09,1.084
EE,2015-11-02,1.044
EE,2015-10-26,1.04
EE,2015-10-19,1.04
EE,2015-10-12,1.05
EE,2015-10-05,1.044
EE,2015-09-28,1.05
EE,2015-09-21,1.055
EE,2015-09-14,1.078
EE,2015-09-07,1.08
EE,2015-08-31,1.08
EE,2015-08-24,1.119
EE,2015-08-17,1.142
EE,2015-08-10,1.163
EE,2015-08-03,1.163
EE,2015-07-27,1.171
EE,2015-07-20,1.186
EE,2015-07-13,1.176
EE,2015-07-06,1.161
EE,2015-06-29,1.188
EE,2015-06-22,1.188
EE,2015-06-15,1.188
EE,2015-06-08,1.19
EE,2015-06-01,1.19
EE,2015-05-25,1.181
EE,2015-05-18,1.18
EE,2015-05-11,1.18
EE,2015-05-04,1.195
EE,2015-04-27,1.183
EE,2015-04-20,1.172
EE,2015-04-13,1.148
EE,2015-03-30,1.148
EE,2015-03-23,1.142
EE,2015-03-16,1.135
EE,2015-03-09,1.124
EE,2015-03-02,1.105
EE,2015-02-23,1.089
EE,2015-02-16,1.065
EE,2015-02-09,1.05
EE,2015-02-02,1.005
EE,2015-01-26,0.99
EE,2015-01-19,1.004
EE,2015-01-12,0.998
EE,2015-01-05,1.029
EE,2014-12-15,1.096
EE,2014-12-08,1.151
EE,2014-12-01,1.186
EE,2014-11-24,1.199
EE,2014-11-17,1.211
EE,2014-11-10,1.211
EE,2014-11-03,1.213
EE,2014-10-27,1.232
EE,2014-10-20,1.247
EE,2014-10-13,1.276
EE,2014-10-06,1.275
EE,2014-09-29,1.27
EE,2014-09-22,1.273
EE,2014-09-15,1.28
EE,2014-09-08,1.28
EE,2014-09-01,1.278
EE,2014-08-25,1.268
EE,2014-08-18,1.274
EE,2014-08-11,1.281
EE,2014-08-04,1.3
EE,2014-07-28,1.306
EE,2014-07-21,1.304
EE,2014-07-14,1.321
EE,2014-07-07,1.33
EE,2014-06-30,1.345
EE,2014-06-23,1.312
EE,2014-06-16,1.318
EE,2014-06-09,1.305
EE,2014-06-02,1.307
EE,2014-05-26,1.299
EE,2014-05-19,1.291
EE,2014-05-12,1.294
EE,2014-05-05,1.302
EE,2014-04-28,1.303
EE,2014-04-14,1.302
EE,2014-04-07,1.302
EE,2014-03-31,1.301
EE,2014-03-24,1.272
EE,2014-03-17,1.276
EE,2014-03-10,1.295
EE,2014-03-03,1.304
EE,2014-02-24,1.306
EE,2014-02-17,1.295
EE,2014-02-10,1.284
EE,2014-02-03,1.286
EE,2014-01-27,1.279
EE,2014-01-20,1.278
EE,2014-01-13,1.28
EE,2014-01-06,1.284
EE,2013-12-16,1.29
EE,2013-12-09,1.291
EE,2013-12-02,1.291
EE,2013-11-25,1.266
EE,2013-11-18,1.256
EE,2013-11-11,1.254
EE,2013-11-04,1.278
EE,2013-10-28,1.291
EE,2013-10-21,1.291
EE,2013-10-14,1.266
EE,2013-10-07,1.262
EE,2013-09-30,1.262
EE,2013-09-23,1.277
EE,2013-09-16,1.316
EE,2013-09-09,1.34
EE,2013-09-02,1.334
EE,2013-08-26,1.334
EE,2013-08-19,1.333
EE,2013-08-12,1.31
EE,2013-08-05,1.328
EE,2013-07-29,1.328
EE,2013-07-22,1.332
EE,2013-07-15,1.325
EE,2013-07-08,1.293
EE,2013-07-01,1.281
ES,2022-09-19,1.709
ES,2022-09-12,1.749
ES,2022-09-05,1.78
ES,2022-08-29,1.794
ES,2022-08-22,1.787
ES,2022-08-15,1.798
ES,2022-08-08,1.861
ES,2022-08-01,1.903
ES,2022-07-25,1.955
ES,2022-07-18,2.026
ES,2022-07-11,2.073
ES,2022-07-04,2.113
ES,2022-06-27,2.129
ES,2022-06-20,2.142
ES,2022-06-13,2.117
ES,2022-06-06,2.049
ES,2022-05-30,1.968
ES,2022-05-23,1.94
ES,2022-05-16,1.898
ES,2022-05-09,1.878
ES,2022-05-02,1.837
ES,2022-04-25,1.817
ES,2022-04-11,1.791
ES,2022-04-04,1.813
ES,2022-03-28,1.818
ES,2022-03-21,1.813
ES,2022-03-14,1.845
ES,2022-03-07,1.68
ES,2022-02-28,1.609
ES,2022-02-21,1.592
ES,2022-02-14,1.575
ES,2022-02-07,1.559
ES,2022-01-31,1.538
ES,2022-01-24,1.52
ES,2022-01-17,1.502
ES,2022-01-10,1.49
ES,2022-01-03,1.48
ES,2021-12-20,1.476
ES,2021-12-13,1.48
ES,2021-12-06,1.488
ES,2021-11-29,1.509
ES,2021-11-22,1.513
ES,2021-11-15,1.513
ES,2021-11-08,1.51
ES,2021-11-01,1.506
ES,2021-10-25,1.497
ES,2021-10-18,1.484
ES,2021-10-11,1.467
ES,2021-10-04,1.448
ES,2021-09-27,1.437
ES,2021-09-20,1.437
ES,2021-09-13,1.429
ES,2021-09-06,1.421
ES,2021-08-30,1.414
ES,2021-08-23,1.415
ES,2021-08-16,1.418
ES,2021-08-09,1.42
ES,2021-08-02,1.416
ES,2021-07-26,1.408
ES,2021-07-19,1.409
ES,2021-07-12,1.401
ES,2021-07-05,1.391
ES,2021-06-28,1.383
ES,2021-06-21,1.374
ES,2021-06-14,1.367
ES,2021-06-07,1.359
ES,2021-05-31,1.351
ES,2021-05-24,1.351
ES,2021-05-17,1.351
ES,2021-05-10,1.344
ES,2021-05-03,1.332
ES,2021-04-26,1.326
ES,2021-04-19,1.32
ES,2021-04-12,1.315
ES,2021-03-29,1.317
ES,2021-03-22,1.321
ES,2021-03-15,1.311
ES,2021-03-08,1.294
ES,2021-03-01,1.283
ES,2021-02-22,1.268
ES,2021-02-15,1.252
ES,2021-02-08,1.238
ES,2021-02-01,1.227
ES,2021-01-25,1.225
ES,2021-01-18,1.216
ES,2021-01-11,1.2
ES,2020-12-21,1.185
ES,2020-12-14,1.176
ES,2020-12-07,1.17
ES,2020-11-30,1.167
ES,2020-11-23,1.157
ES,2020-11-16,1.152
ES,2020-11-09,1.142
ES,2020-11-02,1.146
ES,2020-10-26,1.155
ES,2020-10-19,1.161
ES,2020-10-12,1.162
ES,2020-10-05,1.162
ES,2020-09-28,1.163
ES,2020-09-21,1.162
ES,2020-09-14,1.162
ES,2020-09-07,1.17
ES,2020-08-31,1.171
ES,2020-08-24,1.166
ES,2020-08-17,1.164
ES,2020-08-10,1.159
ES,2020-08-03,1.162
ES,2020-07-27,1.165
ES,2020-07-20,1.164
ES,2020-07-13,1.161
ES,2020-07-06,1.152
ES,2020-06-29,1.145
ES,2020-06-22,1.131
ES,2020-06-15,1.119
ES,2020-06-08,1.103
ES,2020-06-01,1.094
ES,2020-05-25,1.09
ES,2020-05-18,1.079
ES,2020-05-11,1.074
ES,2020-05-04,1.072
ES,2020-04-27,1.089
ES,2020-04-20,1.108
ES,2020-04-06,1.122
ES,2020-03-30,1.144
ES,2020-03-23,1.176
ES,2020-03-16,1.233
ES,2020-03-09,1.278
ES,2020-03-02,1.293
ES,2020-02-24,1.3
ES,2020-02-17,1.297
ES,2020-02-10,1.299
ES,2020-02-03,1.308
ES,2020-01-27,1.318
ES,2020-01-20,1.322
ES,2020-01-13,1.326
ES,2020-01-06,1.321
ES,2019-12-16,1.303
ES,2019-12-09,1.305
ES,2019-12-02,1.306
ES,2019-11-25,1.299
ES,2019-11-18,1.298
ES,2019-11-11,1.3
ES,2019-11-04,1.297
ES,2019-10-28,1.297
ES,2019-10-21,1.302
ES,2019-10-14,1.308
ES,2019-10-07,1.314
ES,2019-09-30,1.321
ES,2019-09-23,1.318
ES,2019-09-16,1.304
ES,2019-09-09,1.302
ES,2019-09-02,1.307
ES,2019-08-26,1.309
ES,2019-08-19,1.313
ES,2019-08-12,1.322
ES,2019-08-05,1.331
ES,2019-07-29,1.328
ES,2019-07-22,1.33
ES,2019-07-15,1.321
ES,2019-07-08,1.312
ES,2019-07-01,1.308
ES,2019-06-24,1.302
ES,2019-06-17,1.307
ES,2019-06-10,1.325
ES,2019-06-03,1.349
ES,2019-05-27,1.357
