"Date","Price","Open","High","Low","Change %"
"Feb 04, 2018","3.4194","3.3464","3.4375","3.3321","2.21%"
"Jan 28, 2018","3.3454","3.3283","3.3643","3.3176","0.43%"
"Jan 21, 2018","3.3310","3.4141","3.4156","3.3072","-2.44%"
"Jan 14, 2018","3.4144","3.4196","3.4266","3.3859","-0.25%"
"Jan 07, 2018","3.4228","3.4518","3.5170","3.4207","-0.79%"
"Dec 31, 2017","3.4500","3.4810","3.4837","3.4299","-0.89%"
"Dec 24, 2017","3.4811","3.5343","3.5467","3.4703","-1.52%"
"Dec 17, 2017","3.5349","3.5841","3.5878","3.5272","-1.19%"
"Dec 10, 2017","3.5774","3.5690","3.5976","3.5581","0.22%"
"Dec 03, 2017","3.5697","3.5434","3.5857","3.5398","0.73%"
"Nov 26, 2017","3.5438","3.5271","3.5619","3.5152","0.46%"
"Nov 19, 2017","3.5274","3.5905","3.6113","3.5231","-1.72%"
"Nov 12, 2017","3.5892","3.6242","3.6412","3.5793","-0.96%"
"Nov 05, 2017","3.6239","3.6560","3.6734","3.6181","-0.89%"
"Oct 29, 2017","3.6566","3.6591","3.6644","3.6248","-0.07%"
"Oct 22, 2017","3.6591","3.5941","3.6728","3.5812","1.80%"
"Oct 15, 2017","3.5943","3.5928","3.6084","3.5696","0.04%"
"Oct 08, 2017","3.5928","3.6745","3.6806","3.5776","-2.22%"
"Oct 01, 2017","3.6745","3.6494","3.6953","3.6439","0.66%"
"Sep 24, 2017","3.6505","3.5728","3.6951","3.5728","2.21%"
"Sep 17, 2017","3.5715","3.5803","3.6086","3.5567","-0.22%"
"Sep 10, 2017","3.5795","3.5253","3.6216","3.5244","1.48%"
"Sep 03, 2017","3.5272","3.5854","3.5861","3.5126","-1.64%"
"Aug 27, 2017","3.5859","3.5726","3.6016","3.5292","0.36%"
"Aug 20, 2017","3.5731","3.6346","3.6469","3.5660","-1.66%"
"Aug 13, 2017","3.6334","3.6254","3.6675","3.6183","0.23%"
"Aug 06, 2017","3.6250","3.6056","3.6526","3.5911","0.55%"
"Jul 30, 2017","3.6052","3.6174","3.6307","3.5657","-0.40%"
"Jul 23, 2017","3.6196","3.6616","3.6717","3.6108","-1.07%"
"Jul 16, 2017","3.6587","3.6684","3.6834","3.6118","-0.20%"
"Jul 09, 2017","3.6660","3.7165","3.7309","3.6648","-1.30%"
"Jul 02, 2017","3.7142","3.7037","3.7567","3.6963","0.32%"
"Jun 25, 2017","3.7022","3.7732","3.7799","3.6963","-1.87%"
"Jun 18, 2017","3.7727","3.7597","3.8226","3.7489","0.37%"
"Jun 11, 2017","3.7587","3.7386","3.8041","3.7125","0.54%"
"Jun 04, 2017","3.7384","3.7079","3.7624","3.7031","0.82%"
"May 28, 2017","3.7079","3.7407","3.7691","3.7031","-0.89%"
"May 21, 2017","3.7412","3.7401","3.7639","3.7094","-0.01%"
"May 14, 2017","3.7416","3.8546","3.8583","3.7376","-2.91%"
"May 07, 2017","3.8538","3.8298","3.8984","3.8102","0.63%"
"Apr 30, 2017","3.8297","3.8808","3.8842","3.8225","-1.28%"
